Symbol,Name,Market Cap Number,Market Cap Modifier,Market Cap
BNB,BNB,54,B,54000000000
ADA,Cardano,18.5,B,18500000000
ETH,Ethereum,250,B,2.5E+11
BAT,Basic Attention Token,620,M,620000000
USDC,USD Coin,53,B,53000000000
USDT,Tether,73,B,73000000000
NEO,Neo,870,M,870000000
TUSD,True USD,1.2,B,1200000000
ETC,Ethereum Classic,3,B,3000000000
LTC,Litecoin,5.1,B,5100000000
XRP,Ripple,21,B,21000000000
TRX,TRON,7.38,B,7380000000
EOS,EOS,1.4,B,1400000000
XMR,Monero,3.5,B,3500000000
ZEC,Zcash,1.6,B,1600000000
QTUM,Qtum,450,M,450000000
DCR,Decred,550,M,550000000
XLM,Stellar,3.4,B,3400000000
IOTA,MIOTA,990,M,990000000
MANA,Decentraland,2.1,B,2100000000
DASH,Digital Cash,680,M,680000000
ZRX,0x,390,M,390000000
SC,Siacoin,280,M,280000000
REP,Augur,150,M,150000000
